,date,title,stage,team1,team2,win,top1,jg1,mid1,adc1,sup1,top2,jg2,mid2,adc2,sup2
0,2021.08.29,2021 LCK 서머 포스트 시즌,결승전 4세트,T1,DWG KIA,L,T1 Canna,T1 Oner,T1 Faker,T1 Gumayusi,T1 Keria,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
1,2021.08.29,2021 LCK 서머 포스트 시즌,결승전 3세트,T1,DWG KIA,W,T1 Canna,T1 Oner,T1 Faker,T1 Gumayusi,T1 Keria,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
2,2021.08.29,2021 LCK 서머 포스트 시즌,결승전 2세트,DWG KIA,T1,W,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria
3,2021.08.29,2021 LCK 서머 포스트 시즌,결승전 1세트,DWG KIA,T1,W,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria
4,2021.08.22,2021 LCK 서머 포스트 시즌,2라운드 2경기 4세트,Gen.G eSports,T1,L,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria
5,2021.08.22,2021 LCK 서머 포스트 시즌,2라운드 2경기 3세트,T1,Gen.G eSports,W,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life
6,2021.08.22,2021 LCK 서머 포스트 시즌,2라운드 2경기 2세트,T1,Gen.G eSports,W,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life
7,2021.08.22,2021 LCK 서머 포스트 시즌,2라운드 2경기 1세트,Gen.G eSports,T1,W,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life,T1 Canna,T1 Oner,T1 Faker,T1 Teddy,T1 Keria
8,2021.08.21,2021 LCK 서머 포스트 시즌,2라운드 1경기 3세트,NS RED FORCE,DWG KIA,L,NS Rich,NS Peanut,NS Gori,NS deokdam,NS Kellin,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
9,2021.08.21,2021 LCK 서머 포스트 시즌,2라운드 1경기 2세트,NS RED FORCE,DWG KIA,L,NS Rich,NS Peanut,NS Gori,NS deokdam,NS Kellin,NS Kellin,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
