,date,player1,player2,daybefore,winrate
0,2021-08-29,Canna,Khan,2021-08-28,50%
1,2021-08-29,Khan,Canna,2021-08-28,50%
2,2021-08-22,Rascal,Canna,2021-08-21,44.8%
3,2021-08-22,Canna,Rascal,2021-08-21,55.2%
4,2021-08-21,Rich,Khan,2021-08-20,28.6%
5,2021-08-21,Rich,Kellin,2021-08-20,51.8%
6,2021-08-21,Khan,Rich,2021-08-20,71.4%
7,2021-08-19,Summit,Canna,2021-08-18,35.3%
8,2021-08-19,Canna,Summit,2021-08-18,64.7%
9,2021-08-18,Kiin,Rich,2021-08-17,55.6%
10,2021-08-18,Rich,Kiin,2021-08-17,44.4%
11,2021-08-15,Rascal,Rich,2021-08-14,92.3%
12,2021-08-15,Canna,Morgan,2021-08-14,85.7%
13,2021-08-15,Morgan,Canna,2021-08-14,14.3%
14,2021-08-14,Kiin,Doran,2021-08-13,47.6%
15,2021-08-14,Doran,Kiin,2021-08-13,52.4%
16,2021-08-14,Khan,Summit,2021-08-13,75%
17,2021-08-13,Kingen,Rich,2021-08-12,40%
18,2021-08-13,Rascal,Hoya,2021-08-12,80%
19,2021-08-13,Hoya,Rascal,2021-08-12,20%
20,2021-08-12,Summit,Doran,2021-08-11,38.9%
21,2021-08-12,Morgan,Kiin,2021-08-11,80%
22,2021-08-08,Kingen,Canna,2021-08-07,12.5%
23,2021-08-08,Canna,Kingen,2021-08-07,87.5%
24,2021-08-08,Khan,Rascal,2021-08-07,75%
25,2021-08-08,Khan,Burdol,2021-08-07,
26,2021-08-07,Summit,Hoya,2021-08-06,33.3%
27,2021-08-07,Hoya,Summit,2021-08-06,66.7%
28,2021-08-07,Rich,Kiin,2021-08-06,50%
29,2021-08-06,Canna,Burdol,2021-08-05,
30,2021-08-06,Burdol,Canna,2021-08-05,
31,2021-08-06,Kingen,Doran,2021-08-05,28.6%
32,2021-08-06,Doran,Kingen,2021-08-05,71.4%
33,2021-08-05,Morgan,Summit,2021-08-04,50%
34,2021-08-05,Summit,Morgan,2021-08-04,50%
35,2021-08-05,Hoya,Khan,2021-08-04,57.1%
36,2021-08-01,Doran,Khan,2021-07-31,40%
37,2021-08-01,Khan,Doran,2021-07-31,60%
38,2021-08-01,Morgan,Rich,2021-07-31,77.8%
39,2021-08-01,Rich,Morgan,2021-07-31,22.2%
40,2021-07-31,Kiin,Kingen,2021-07-30,44.4%
41,2021-07-31,Kingen,Kiin,2021-07-30,55.6%
42,2021-07-31,Canna,Hoya,2021-07-30,100%
43,2021-07-31,Hoya,Canna,2021-07-30,0%
44,2021-07-30,Doran,Burdol,2021-07-29,
45,2021-07-30,Rich,Summit,2021-07-29,65%
46,2021-07-30,Summit,Rich,2021-07-29,35%
47,2021-07-29,Morgan,Kingen,2021-07-28,100%
48,2021-07-29,Kingen,Morgan,2021-07-28,0%
49,2021-07-29,Khan,Kiin,2021-07-28,76.9%
50,2021-07-29,Kiin,Khan,2021-07-28,23.1%
51,2021-07-25,Morgan,Hoya,2021-07-24,100%
52,2021-07-25,Hoya,Morgan,2021-07-24,0%
53,2021-07-25,Rascal,Kiin,2021-07-24,76.5%
54,2021-07-25,Kiin,Rascal,2021-07-24,23.5%
55,2021-07-24,Canna,Summit,2021-07-23,71.4%
56,2021-07-24,Kingen,Khan,2021-07-23,0%
57,2021-07-24,Khan,Kingen,2021-07-23,100%
58,2021-07-23,Rich,Hoya,2021-07-22,66.7%
59,2021-07-23,Hoya,Rich,2021-07-22,33.3%
60,2021-07-23,DuDu,Doran,2021-07-22,28.6%
61,2021-07-22,Canna,Kiin,2021-07-21,56%
62,2021-07-22,Kiin,Canna,2021-07-21,44%
63,2021-07-22,Summit,Rascal,2021-07-21,34.6%
64,2021-07-22,Rascal,Summit,2021-07-21,65.4%
65,2021-07-18,Rich,Doran,2021-07-17,50%
66,2021-07-18,Hoya,Kingen,2021-07-17,25%
67,2021-07-18,Kingen,Hoya,2021-07-17,75%
68,2021-07-17,Canna,Khan,2021-07-16,42.9%
69,2021-07-17,Rascal,Morgan,2021-07-16,71.4%
70,2021-07-17,Morgan,Rascal,2021-07-16,28.6%
71,2021-07-16,Kingen,Summit,2021-07-15,40%
72,2021-07-16,Kiin,Hoya,2021-07-15,57.1%
73,2021-07-16,Hoya,Kiin,2021-07-15,42.9%
74,2021-07-15,Khan,Rich,2021-07-14,81.8%
75,2021-07-15,Doran,Canna,2021-07-14,38.1%
76,2021-07-11,Canna,Rich,2021-07-10,42.9%
77,2021-07-11,Rich,Canna,2021-07-10,57.1%
78,2021-07-11,Kingen,Rascal,2021-07-10,42.9%
79,2021-07-10,Morgan,Khan,2021-07-09,25%
80,2021-07-10,DuDu,Khan,2021-07-09,14.3%
81,2021-07-10,Hoya,Doran,2021-07-09,20%
82,2021-07-10,Doran,Hoya,2021-07-09,80%
83,2021-07-09,Kiin,Summit,2021-07-08,53.3%
84,2021-07-09,Summit,Kiin,2021-07-08,46.7%
85,2021-07-09,Canna,Rascal,2021-07-08,51.9%
86,2021-07-08,Kingen,Hoya,2021-07-07,80%
87,2021-07-08,Hoya,Kingen,2021-07-07,20%
88,2021-07-08,DuDu,Doran,2021-07-07,0%
89,2021-07-08,Doran,DuDu,2021-07-07,100%
90,2021-07-07,Kiin,Rich,2021-07-06,57.1%
91,2021-07-07,Summit,Khan,2021-07-06,27.8%
92,2021-07-04,Khan,Rascal,2021-07-03,72.7%
93,2021-07-04,Rascal,Khan,2021-07-03,27.3%
94,2021-07-04,Rich,DuDu,2021-07-03,50%
95,2021-07-04,DuDu,Rich,2021-07-03,50%
96,2021-07-03,Summit,Kingen,2021-07-02,57.1%
97,2021-07-03,Canna,Kiin,2021-07-02,59.1%
98,2021-07-03,Kiin,Canna,2021-07-02,40.9%
99,2021-07-02,Doran,Hoya,2021-07-01,75%
100,2021-07-02,Hoya,Doran,2021-07-01,25%
101,2021-07-02,Rich,Khan,2021-07-01,0%
102,2021-07-01,Summit,Kiin,2021-06-30,44.4%
103,2021-07-01,Kiin,Summit,2021-06-30,55.6%
104,2021-07-01,Kingen,DuDu,2021-06-30,50%
105,2021-07-01,DuDu,Kingen,2021-06-30,50%
106,2021-06-30,Hoya,Rascal,2021-06-29,14.3%
107,2021-06-30,Rascal,Hoya,2021-06-29,85.7%
108,2021-06-30,Doran,Canna,2021-06-29,38.9%
109,2021-06-30,Canna,Doran,2021-06-29,61.1%
110,2021-06-27,Doran,Summit,2021-06-26,66.7%
111,2021-06-27,Summit,Doran,2021-06-26,33.3%
112,2021-06-27,Kingen,Canna,2021-06-26,16.7%
113,2021-06-26,Rich,Hoya,2021-06-25,100%
114,2021-06-26,Kiin,Rascal,2021-06-25,25%
115,2021-06-25,Khan,DuDu,2021-06-24,100%
116,2021-06-25,Kingen,Doran,2021-06-24,40%
117,2021-06-25,Doran,Kingen,2021-06-24,60%
118,2021-06-24,Canna,Rich,2021-06-23,60%
119,2021-06-24,Summit,Rascal,2021-06-23,34.8%
120,2021-06-23,Hoya,Khan,2021-06-22,50%
121,2021-06-23,Khan,Hoya,2021-06-22,50%
122,2021-06-23,Kiin,DuDu,2021-06-22,100%
123,2021-06-23,DuDu,Kiin,2021-06-22,0%
124,2021-06-20,DuDu,Hoya,2021-06-19,0%
125,2021-06-20,Hoya,DuDu,2021-06-19,100%
126,2021-06-20,Canna,Summit,2021-06-19,83.3%
127,2021-06-20,Summit,Canna,2021-06-19,16.7%
128,2021-06-19,Doran,Kiin,2021-06-18,55.6%
129,2021-06-19,Kiin,Doran,2021-06-18,44.4%
130,2021-06-19,Kingen,Khan,2021-06-18,0%
131,2021-06-19,Khan,Kingen,2021-06-18,100%
132,2021-06-18,Rich,Rascal,2021-06-17,0%
133,2021-06-18,DuDu,Summit,2021-06-17,0%
134,2021-06-18,Summit,DuDu,2021-06-17,100%
135,2021-06-17,Kiin,Khan,2021-06-16,24.3%
136,2021-06-17,Khan,Kiin,2021-06-16,75.7%
137,2021-06-17,Hoya,Canna,2021-06-16,0%
138,2021-06-17,Canna,Hoya,2021-06-16,100%
139,2021-06-16,Doran,Rascal,2021-06-15,56%
