,date,team1,team2,daybefore,winrate
0,2021-08-29,T1,DWG KIA,2021-08-28,38.5%
1,2021-08-29,DWG KIA,T1,2021-08-28,61.5%
2,2021-08-22,Gen.G eSports,T1,2021-08-21,36.7%
3,2021-08-22,T1,Gen.G eSports,2021-08-21,63.3%
4,2021-08-21,NS RED FORCE,DWG KIA,2021-08-20,22.2%
5,2021-08-21,DWG KIA,NS RED FORCE,2021-08-20,77.8%
6,2021-08-19,Liiv Sandbox,T1,2021-08-18,35.3%
7,2021-08-19,T1,Liiv Sandbox,2021-08-18,64.7%
8,2021-08-18,Afreeca Freecs,NS RED FORCE,2021-08-17,53.3%
9,2021-08-18,NS RED FORCE,Afreeca Freecs,2021-08-17,46.7%
10,2021-08-15,Gen.G eSports,NS RED FORCE,2021-08-14,92.3%
11,2021-08-15,T1,Hanwha Life Esports,2021-08-14,70.1%
12,2021-08-15,Hanwha Life Esports,T1,2021-08-14,29.9%
13,2021-08-14,Afreeca Freecs,kt Rolster,2021-08-13,50%
14,2021-08-14,kt Rolster,Afreeca Freecs,2021-08-13,50%
15,2021-08-14,DWG KIA,Liiv Sandbox,2021-08-13,70.6%
16,2021-08-13,DRX,NS RED FORCE,2021-08-12,57.1%
17,2021-08-13,Gen.G eSports,Fredit BRION,2021-08-12,60.6%
18,2021-08-13,Fredit BRION,Gen.G eSports,2021-08-12,39.4%
19,2021-08-12,Liiv Sandbox,kt Rolster,2021-08-11,53.6%
20,2021-08-12,Hanwha Life Esports,Afreeca Freecs,2021-08-11,54%
21,2021-08-08,DRX,T1,2021-08-07,40.2%
22,2021-08-08,T1,DRX,2021-08-07,59.8%
23,2021-08-08,DWG KIA,Gen.G eSports,2021-08-07,58.1%
24,2021-08-07,Liiv Sandbox,Fredit BRION,2021-08-06,33.3%
25,2021-08-07,Fredit BRION,Liiv Sandbox,2021-08-06,66.7%
26,2021-08-07,NS RED FORCE,Afreeca Freecs,2021-08-06,53.8%
27,2021-08-06,T1,Gen.G eSports,2021-08-05,63.2%
28,2021-08-06,Gen.G eSports,T1,2021-08-05,36.8%
29,2021-08-06,DRX,kt Rolster,2021-08-05,48.6%
30,2021-08-06,kt Rolster,DRX,2021-08-05,51.4%
31,2021-08-05,Hanwha Life Esports,Liiv Sandbox,2021-08-04,24%
32,2021-08-05,Liiv Sandbox,Hanwha Life Esports,2021-08-04,76%
33,2021-08-05,Fredit BRION,DWG KIA,2021-08-04,41.7%
34,2021-08-01,kt Rolster,DWG KIA,2021-07-31,27.6%
35,2021-08-01,DWG KIA,kt Rolster,2021-07-31,72.4%
36,2021-08-01,Hanwha Life Esports,NS RED FORCE,2021-07-31,63.6%
37,2021-08-01,NS RED FORCE,Hanwha Life Esports,2021-07-31,36.4%
38,2021-07-31,Afreeca Freecs,DRX,2021-07-30,37.8%
39,2021-07-31,DRX,Afreeca Freecs,2021-07-30,62.2%
40,2021-07-31,T1,Fredit BRION,2021-07-30,76.5%
41,2021-07-31,Fredit BRION,T1,2021-07-30,23.5%
42,2021-07-30,kt Rolster,Gen.G eSports,2021-07-29,59.3%
43,2021-07-30,NS RED FORCE,Liiv Sandbox,2021-07-29,65%
44,2021-07-30,Liiv Sandbox,NS RED FORCE,2021-07-29,35%
45,2021-07-29,Hanwha Life Esports,DRX,2021-07-28,51.6%
46,2021-07-29,DRX,Hanwha Life Esports,2021-07-28,48.4%
47,2021-07-29,DWG KIA,Afreeca Freecs,2021-07-28,80%
48,2021-07-29,Afreeca Freecs,DWG KIA,2021-07-28,20%
49,2021-07-25,Hanwha Life Esports,Fredit BRION,2021-07-24,72.5%
50,2021-07-25,Fredit BRION,Hanwha Life Esports,2021-07-24,27.5%
51,2021-07-25,Gen.G eSports,Afreeca Freecs,2021-07-24,64.1%
52,2021-07-25,Afreeca Freecs,Gen.G eSports,2021-07-24,35.9%
53,2021-07-24,T1,Liiv Sandbox,2021-07-23,67.7%
54,2021-07-24,DRX,DWG KIA,2021-07-23,47.9%
55,2021-07-24,DWG KIA,DRX,2021-07-23,52.1%
56,2021-07-23,NS RED FORCE,Fredit BRION,2021-07-22,66.7%
57,2021-07-23,Fredit BRION,NS RED FORCE,2021-07-22,33.3%
58,2021-07-23,Hanwha Life Esports,kt Rolster,2021-07-22,52.9%
59,2021-07-22,T1,Afreeca Freecs,2021-07-21,51.4%
60,2021-07-22,Afreeca Freecs,T1,2021-07-21,48.6%
61,2021-07-22,Liiv Sandbox,Gen.G eSports,2021-07-21,37%
62,2021-07-22,Gen.G eSports,Liiv Sandbox,2021-07-21,63%
63,2021-07-18,NS RED FORCE,kt Rolster,2021-07-17,68.8%
64,2021-07-18,Fredit BRION,DRX,2021-07-17,43.8%
65,2021-07-18,DRX,Fredit BRION,2021-07-17,56.3%
