,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
0,2021-08-29,T1,DWG KIA,2021-08-28,2021-08-14,66.7%,100%
1,2021-08-29,DWG KIA,T1,2021-08-28,2021-08-14,100%,66.7%
2,2021-08-22,Gen.G eSports,T1,2021-08-21,2021-08-07,57.1%,71.4%
3,2021-08-22,T1,Gen.G eSports,2021-08-21,2021-08-07,71.4%,57.1%
4,2021-08-21,NS RED FORCE,DWG KIA,2021-08-20,2021-08-06,50%,100%
5,2021-08-21,DWG KIA,NS RED FORCE,2021-08-20,2021-08-06,100%,50%
6,2021-08-19,Liiv Sandbox,T1,2021-08-18,2021-08-04,50%,57.1%
7,2021-08-19,T1,Liiv Sandbox,2021-08-18,2021-08-04,57.1%,50%
8,2021-08-18,Afreeca Freecs,NS RED FORCE,2021-08-17,2021-08-03,85.7%,33.3%
9,2021-08-18,NS RED FORCE,Afreeca Freecs,2021-08-17,2021-08-03,33.3%,85.7%
10,2021-08-15,Gen.G eSports,NS RED FORCE,2021-08-14,2021-07-31,37.5%,57.1%
11,2021-08-15,T1,Hanwha Life Esports,2021-08-14,2021-07-31,75%,14.3%
12,2021-08-15,Hanwha Life Esports,T1,2021-08-14,2021-07-31,14.3%,75%
13,2021-08-14,Afreeca Freecs,kt Rolster,2021-08-13,2021-07-30,71.4%,40%
14,2021-08-14,kt Rolster,Afreeca Freecs,2021-08-13,2021-07-30,40%,71.4%
15,2021-08-14,DWG KIA,Liiv Sandbox,2021-08-13,2021-07-30,100%,54.5%
16,2021-08-13,DRX,NS RED FORCE,2021-08-12,2021-07-29,30%,50%
17,2021-08-13,Gen.G eSports,Fredit BRION,2021-08-12,2021-07-29,42.9%,25%
18,2021-08-13,Fredit BRION,Gen.G eSports,2021-08-12,2021-07-29,25%,42.9%
19,2021-08-12,Liiv Sandbox,kt Rolster,2021-08-11,2021-07-28,62.5%,28.6%
20,2021-08-12,Hanwha Life Esports,Afreeca Freecs,2021-08-11,2021-07-28,42.9%,62.5%
21,2021-08-08,DRX,T1,2021-08-07,2021-07-24,30%,55.6%
22,2021-08-08,T1,DRX,2021-08-07,2021-07-24,55.6%,30%
23,2021-08-08,DWG KIA,Gen.G eSports,2021-08-07,2021-07-24,77.8%,50%
24,2021-08-07,Liiv Sandbox,Fredit BRION,2021-08-06,2021-07-23,62.5%,27.3%
25,2021-08-07,Fredit BRION,Liiv Sandbox,2021-08-06,2021-07-23,27.3%,62.5%
26,2021-08-07,NS RED FORCE,Afreeca Freecs,2021-08-06,2021-07-23,66.7%,55.6%
27,2021-08-06,T1,Gen.G eSports,2021-08-05,2021-07-22,55.6%,50%
28,2021-08-06,Gen.G eSports,T1,2021-08-05,2021-07-22,50%,55.6%
29,2021-08-06,DRX,kt Rolster,2021-08-05,2021-07-22,28.6%,33.3%
30,2021-08-06,kt Rolster,DRX,2021-08-05,2021-07-22,33.3%,28.6%
31,2021-08-05,Hanwha Life Esports,Liiv Sandbox,2021-08-04,2021-07-21,50%,55.6%
